Date,Time,CAGE_1,CAGE_2,CAGE_3,CAGE_4,CAGE_5,CAGE_6,CAGE_7,CAGE_8,CAGE_9,CAGE_10,CAGE_11,CAGE_12,Room
04/29/2022,12:38:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:39:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:40:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:41:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:42:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:43:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:44:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:45:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:46:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:47:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:48:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:49:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:50:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:51:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:52:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,12:53:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
